SID,entry
65d6a09286a0c99e632a46dd,cancer
65d6a09286a0c99e632a46dd,autism
65d6a09286a0c99e632a46dd,anemia
65d6a09286a0c99e632a46dd,diabetes
65d6a09286a0c99e632a46dd,arthritis
65d6a09286a0c99e632a46dd,infertility
65d6a09286a0c99e632a46dd,epilepsy
65c25cf77dca9d7ca7d9ebdb,arthritis
65c25cf77dca9d7ca7d9ebdb,osteoporosis
65c25cf77dca9d7ca7d9ebdb,diabetes
65c25cf77dca9d7ca7d9ebdb,pneumonia
65c25cf77dca9d7ca7d9ebdb,depression
65c25cf77dca9d7ca7d9ebdb,schizophrenia
65c25cf77dca9d7ca7d9ebdb,rickets
65b15afd94153c1f50c92493,cancer
65b15afd94153c1f50c92493,diabetes
65b15afd94153c1f50c92493,infertility
65b15afd94153c1f50c92493,asthma
65b15afd94153c1f50c92493,eczema
65b15afd94153c1f50c92493,migraine
65b15afd94153c1f50c92493,scoliosis
65b15afd94153c1f50c92493,stroke
65b15afd94153c1f50c92493,hypertension
65b15afd94153c1f50c92493,acne
65cb63e160bb47fbf9349269,diabetes
65cb63e160bb47fbf9349269,anemia
65cb63e160bb47fbf9349269,leukemia
65cb63e160bb47fbf9349269,cancer
65cb63e160bb47fbf9349269,alzheimer's
65cb63e160bb47fbf9349269,migraine
65cb63e160bb47fbf9349269,vertigo
60d731567049e5132e3cc4d4,diabetes
60d731567049e5132e3cc4d4,diabetes
60d731567049e5132e3cc4d4,cancer
60d731567049e5132e3cc4d4,anemia
60d731567049e5132e3cc4d4,asthma
60d731567049e5132e3cc4d4,psoriasis
60d731567049e5132e3cc4d4,eczema
60d731567049e5132e3cc4d4,migraine
60d731567049e5132e3cc4d4,epilepsy
65e862f844f1b7a803bb3c5a,asthma
65e862f844f1b7a803bb3c5a,influenza
65e862f844f1b7a803bb3c5a,rickets
65e862f844f1b7a803bb3c5a,tuberculosis
65e862f844f1b7a803bb3c5a,diabetes
65e862f844f1b7a803bb3c5a,cancer
65e862f844f1b7a803bb3c5a,leukemia
65e862f844f1b7a803bb3c5a,rickets
65e862f844f1b7a803bb3c5a,arthritis
65e862f844f1b7a803bb3c5a,stroke
65e862f844f1b7a803bb3c5a,epilepsy
65e862f844f1b7a803bb3c5a,addison's disease
65d54b3b524fcafb543d1b23,multiple sclerosis
65d54b3b524fcafb543d1b23,heart disease
65d54b3b524fcafb543d1b23,addison's disease
65d54b3b524fcafb543d1b23,sarcoma
65d54b3b524fcafb543d1b23,dysphagia
65d54b3b524fcafb543d1b23,anxiety
65d54b3b524fcafb543d1b23,depression
65d54b3b524fcafb543d1b23,schizophrenia
65d54b3b524fcafb543d1b23,schizophrenia
5f5aa60bef062519ff711fe6,cancer
5f5aa60bef062519ff711fe6,cancer
5f5aa60bef062519ff711fe6,cancer
5f5aa60bef062519ff711fe6,osteoporosis
5f5aa60bef062519ff711fe6,arthritis
5f5aa60bef062519ff711fe6,parkinson's
5f5aa60bef062519ff711fe6,lymphoma
5f5aa60bef062519ff711fe6,autism
5f5aa60bef062519ff711fe6,rickets
5f5aa60bef062519ff711fe6,anemia
5f5aa60bef062519ff711fe6,hemorrhoids
63e802622f8052bd67d6c5f0,cancer
63e802622f8052bd67d6c5f0,autism
63e802622f8052bd67d6c5f0,diabetes
63e802622f8052bd67d6c5f0,depression
63e802622f8052bd67d6c5f0,anxiety
63e802622f8052bd67d6c5f0,asthma
60a48adfe091e410f4eaba34,lymphoma
60a48adfe091e410f4eaba34,diabetes
60a48adfe091e410f4eaba34,alzheimer's
60a48adfe091e410f4eaba34,parkinson's
60a48adfe091e410f4eaba34,depression
60a48adfe091e410f4eaba34,anxiety
60a48adfe091e410f4eaba34,anemia
60a48adfe091e410f4eaba34,obesity
60a48adfe091e410f4eaba34,epilepsy
60a48adfe091e410f4eaba34,cancer
60a48adfe091e410f4eaba34,tendinitis
65e1f75ab3efd22e847cfbf0,diabetes
65e1f75ab3efd22e847cfbf0,cancer
65e1f75ab3efd22e847cfbf0,cancer
65e1f75ab3efd22e847cfbf0,cancer
65e1f75ab3efd22e847cfbf0,lymphoma
65e1f75ab3efd22e847cfbf0,schizophrenia
65e1f75ab3efd22e847cfbf0,gastritis
65e1f75ab3efd22e847cfbf0,gastritis
65e1f75ab3efd22e847cfbf0,diverticulitis
65e1f75ab3efd22e847cfbf0,diverticulitis
65e1f75ab3efd22e847cfbf0,gout
65e1f75ab3efd22e847cfbf0,cancer
65e1f75ab3efd22e847cfbf0,gout
65e1f75ab3efd22e847cfbf0,eczema
65e1f75ab3efd22e847cfbf0,leukemia
65e1f75ab3efd22e847cfbf0,lymphoma
65e1f75ab3efd22e847cfbf0,cancer
65e1f75ab3efd22e847cfbf0,endometriosis
65e1f75ab3efd22e847cfbf0,asthma
65e1f75ab3efd22e847cfbf0,asthma
65e1f75ab3efd22e847cfbf0,pancreatitis
65e1f75ab3efd22e847cfbf0,cancer
65e1f75ab3efd22e847cfbf0,polio
65e1f75ab3efd22e847cfbf0,cancer
65cc19b4b3d48a22dfc6756d,cancer
65cc19b4b3d48a22dfc6756d,endometriosis
65cc19b4b3d48a22dfc6756d,alzheimer's
65cc19b4b3d48a22dfc6756d,pneumonia
65e358d9c5e3ee026268b2a7,cirrhosis
65e358d9c5e3ee026268b2a7,cirrhosis
65e358d9c5e3ee026268b2a7,hypertension
65e358d9c5e3ee026268b2a7,hypertension
65e358d9c5e3ee026268b2a7,asthma
65e358d9c5e3ee026268b2a7,pneumonia
65e358d9c5e3ee026268b2a7,obesity
65e358d9c5e3ee026268b2a7,diabetes
65e358d9c5e3ee026268b2a7,heart disease
65e358d9c5e3ee026268b2a7,stroke
65e358d9c5e3ee026268b2a7,anemia
65e358d9c5e3ee026268b2a7,rickets
65e358d9c5e3ee026268b2a7,cancer
65e358d9c5e3ee026268b2a7,cancer
65e358d9c5e3ee026268b2a7,anemia
65e358d9c5e3ee026268b2a7,multiple sclerosis
65e358d9c5e3ee026268b2a7,osteoporosis
65e358d9c5e3ee026268b2a7,arthritis
5d7ff4aa50fda7001a863736,diabetes
5d7ff4aa50fda7001a863736,autism
5d7ff4aa50fda7001a863736,tuberculosis
5d7ff4aa50fda7001a863736,bronchitis
5d7ff4aa50fda7001a863736,anemia
5d7ff4aa50fda7001a863736,depression
5d7ff4aa50fda7001a863736,cancer
5d7ff4aa50fda7001a863736,cancer
5d7ff4aa50fda7001a863736,cancer
5d7ff4aa50fda7001a863736,arthritis
5d7ff4aa50fda7001a863736,acne
5d7ff4aa50fda7001a863736,lymphoma
63ea4ab1ce4168cbe9f63775,stroke
63ea4ab1ce4168cbe9f63775,diabetes
63ea4ab1ce4168cbe9f63775,depression
63ea4ab1ce4168cbe9f63775,asthma
63ea4ab1ce4168cbe9f63775,diabetes
63ea4ab1ce4168cbe9f63775,migraine
63ea4ab1ce4168cbe9f63775,hepatitis
